dish,dose,genotype,phase,n_obs,pct_center,pct_middle,pct_outer,count_center,count_middle,count_outer
2026-06-01_09.57.44_ROI1_TL_W1118,80:35,W1118,baseline,96000,10.119791666666666,24.385416666666668,65.49479166666666,9715,23410,62875
2026-06-01_09.57.44_ROI1_TL_W1118,80:35,W1118,early EtOH,91042,8.950813910063488,20.189582829902683,70.85960326003384,8149,18381,64512
2026-06-01_09.57.44_ROI1_TL_W1118,80:35,W1118,late EtOH,91115,10.50430774296219,22.738297755583602,66.7573945014542,9571,20718,60826
2026-06-01_09.57.44_ROI1_TL_W1118,80:35,W1118,recovery,87680,12.083713503649635,27.22969890510949,60.68658759124088,10595,23875,53210
2026-06-01_09.57.44_ROI2_BL_dSERT,80:35,dSERT,baseline,90117,14.467858450680781,26.412330636838778,59.11981091248044,13038,23802,53277
2026-06-01_09.57.44_ROI2_BL_dSERT,80:35,dSERT,early EtOH,90487,6.544586515190027,16.562600152508093,76.89281333230188,5922,14987,69578
2026-06-01_09.57.44_ROI2_BL_dSERT,80:35,dSERT,late EtOH,90552,4.544350207615514,27.435064935064936,68.02058485731955,4115,24843,61594
2026-06-01_09.57.44_ROI2_BL_dSERT,80:35,dSERT,recovery,87822,7.298854501150053,40.13345175468561,52.56769374416434,6410,35246,46166
2026-06-01_09.57.44_ROI3_TR_dSERT,80:35,dSERT,baseline,89591,18.87354756616178,12.448795079862933,68.67765735397529,16909,11153,61529
2026-06-01_09.57.44_ROI3_TR_dSERT,80:35,dSERT,early EtOH,89430,6.647657385664766,14.30839762943084,79.04394498490439,5945,12796,70689
2026-06-01_09.57.44_ROI3_TR_dSERT,80:35,dSERT,late EtOH,89312,6.696748477248297,14.584826227158723,78.71842529559298,5981,13026,70305
2026-06-01_09.57.44_ROI3_TR_dSERT,80:35,dSERT,recovery,87346,7.767957319167448,18.85260916355643,73.37943351727611,6785,16467,64094
2026-06-01_09.57.44_ROI4_BR_W1118,80:35,W1118,baseline,89551,19.895925226965637,27.90923607776574,52.19483869526862,17817,24993,46741
2026-06-01_09.57.44_ROI4_BR_W1118,80:35,W1118,early EtOH,89363,7.993241050546647,17.451294159775298,74.55546478967806,7143,15595,66625
2026-06-01_09.57.44_ROI4_BR_W1118,80:35,W1118,late EtOH,88804,4.812846268186117,18.261564794378632,76.92558893743525,4274,16217,68313
2026-06-01_09.57.44_ROI4_BR_W1118,80:35,W1118,recovery,87555,0.8931528753355034,20.898863571469363,78.20798355319513,782,18298,68475
2026-06-03_10.01.39_ROI1_TL_W1118,80:35,W1118,baseline,99218,11.878892942812797,52.59025580035881,35.5308512568284,11786,52179,35253
2026-06-03_10.01.39_ROI1_TL_W1118,80:35,W1118,early EtOH,98100,7.056065239551478,18.745158002038735,74.19877675840979,6922,18389,72789
2026-06-03_10.01.39_ROI1_TL_W1118,80:35,W1118,late EtOH,98689,6.0867979207409135,16.83267638743933,77.08052569181976,6007,16612,76070
2026-06-03_10.01.39_ROI1_TL_W1118,80:35,W1118,recovery,95959,9.172667493408643,0.5940036890755427,90.23332881751581,8802,570,86587
2026-06-03_10.01.39_ROI2_BL_dSERT,80:35,dSERT,baseline,90441,5.1879125617806086,20.22644597030108,74.58564146791831,4692,18293,67456
2026-06-03_10.01.39_ROI2_BL_dSERT,80:35,dSERT,early EtOH,91218,5.871648139621566,14.0257405336666,80.10261132671184,5356,12794,73068
2026-06-03_10.01.39_ROI2_BL_dSERT,80:35,dSERT,late EtOH,90332,5.837355532922995,15.288048532081655,78.87459593499536,5273,13810,71249
2026-06-03_10.01.39_ROI2_BL_dSERT,80:35,dSERT,recovery,89114,8.657450007855108,20.326772448773482,71.01577754337141,7715,18114,63285
2026-06-03_10.01.39_ROI3_TR_dSERT,80:35,dSERT,baseline,89285,12.000896007168057,22.982583860670886,65.01652013216106,10715,20520,58050
2026-06-03_10.01.39_ROI3_TR_dSERT,80:35,dSERT,early EtOH,89337,7.801918577968816,16.118741394942745,76.07934002708843,6970,14400,67967
